id,parameters,enc1_z,enc1_r,enc1_h,enc2_z,enc2_r,enc2_h,enc3_z,enc3_r,enc3_h,enc4_z,enc4_r,enc4_h,dec1_z,dec1_r,dec1_h,dec2_z,dec2_r,dec2_h,dec3_z,dec3_r,dec3_h,dec4_z,dec4_r,dec4_h
39,11987719,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4
40,12105607,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4
41,12162439,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0
42,12163207,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0
43,12281095,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0
44,12342151,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0
45,12398983,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0
46,12460807,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6
47,12517639,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6
48,12577927,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8
49,12696583,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6
50,12696583,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4
51,12753415,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4
52,12754183,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8
53,12754951,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6
54,12933127,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0
55,12933127,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4
56,12933127,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4
57,12989959,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8
58,12989959,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0
59,12990727,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0
60,13168903,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0
61,13168903,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4
62,13169671,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6
63,13225735,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8
64,13226503,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8
65,13226503,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6
66,13404679,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8
67,13405447,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0
68,13405447,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0
69,13461511,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4
70,13462279,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6
71,13524103,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0
72,13641223,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8
73,13641991,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8
74,13698055,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0
75,13759879,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4
76,13759879,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6
77,13760647,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0
78,13877767,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8
79,13995655,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8
80,13996423,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4
81,13996423,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4
82,13996423,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4
83,13997191,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4
84,14232199,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8
85,14232199,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0
86,14232199,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0
87,14232967,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8
88,14232967,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8
89,14232967,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4
90,14233735,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6
91,14467975,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4
92,14468743,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0
93,14468743,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0
94,14468743,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4
95,14468743,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0
96,14468743,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4
97,14469511,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0
98,14587399,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6
99,14704519,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0
100,14704519,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8
101,14704519,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0
102,14705287,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6
103,14705287,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.6,0.6
104,14705287,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0
105,14823175,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0
106,14884231,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8
107,14940295,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0
108,14941063,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8
109,14941063,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0
110,14941063,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6
111,15002887,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4
112,15059719,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4
113,15060487,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4
114,15176839,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8
115,15177607,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6
116,15238663,0,0.0,0.0,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4
117,15295495,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4
118,15295495,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4
119,15296263,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0
120,15297031,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6
121,15413383,1,0.8,0.8,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8
122,15475207,0,0.0,0.0,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6
123,15531271,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8
124,15532039,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4
125,15532039,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6
126,15532807,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8
127,15532807,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4
128,15710983,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4
129,15711751,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4
130,15767815,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0
131,15767815,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8
132,15768583,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4
133,15768583,1,0.6,0.6,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4
134,15768583,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0
135,15946759,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4
136,15947527,1,0.4,0.4,0,0.0,0.0,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8
137,15948295,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8
138,16004359,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.4,0.4
139,16004359,1,0.6,0.6,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0
140,16004359,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6
141,16005127,1,0.6,0.6,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4
142,16066183,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4
143,16183303,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4
144,16184071,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,1,0.4,0.4,1,0.6,0.6
145,16240135,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,1,0.8,0.8,1,0.6,0.6
146,16240903,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0
147,16240903,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.8,0.8
148,16301959,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8
149,16419847,0,0.0,0.0,1,0.4,0.4,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8
150,16420615,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6
151,16476679,1,0.8,0.8,1,0.4,0.4,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8,1,0.8,0.8
152,16477447,1,0.8,0.8,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.8,0.8
153,16538503,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,0,0.0,0.0,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4
154,16539271,1,0.6,0.6,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6
155,16712455,1,0.4,0.4,1,0.8,0.8,1,0.8,0.8,1,0.8,0.8,0,0.0,0.0,1,0.6,0.6,1,0.8,0.8,1,0.8,0.8
156,16774279,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8,1,0.4,0.4,1,0.4,0.4,1,0.8,0.8
157,16774279,1,0.8,0.8,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,1,0.8,0.8
158,16775047,1,0.4,0.4,1,0.6,0.6,1,0.4,0.4,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.8,0.8,1,0.6,0.6
159,16775815,1,0.6,0.6,0,0.0,0.0,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6,1,0.4,0.4,1,0.6,0.6,1,0.6,0.6
